section,title,description
187,BNS Section 187 - Person employed in mint causing coin to be of different weight or composition from that fixed by law.,"B.N.S 187, Person employed in mint causing coin to be of different weight or composition from that fixed by law."
188,BNS Section 188 - Unlawfully taking coining instrument from mint.,"B.N.S 188, Unlawfully taking coining instrument from mint."
186,BNS Section 186 - Prohibition of fictitious stamps.,"B.N.S 186, Prohibition of fictitious stamps."
189,BNS Section 189 - Unlawful assembly.,"B.N.S 189, Unlawful assembly."
190,BNS Section 190 - Every member of unlawful assembly guilty of offence committed in prosecution of common object.,"B.N.S 190, Every member of unlawful assembly guilty of offence committed in prosecution of common object."
191,BNS Section 191 - Rioting.,"B.N.S 191, Rioting."
192,BNS Section 192 - Wantonly giving provocation with intent to cause riot- if rioting be committed; if not committed.,"B.N.S 192, Wantonly giving provocation with intent to cause riot- if rioting be committed; if not committed."
193,"BNS Section 193 - Liability of owner, occupier etc., of land on which an unlawful assembly or riot takes place.","B.N.S 193, Liability of owner, occupier etc., of land on which an unlawful assembly or riot takes place."
194,BNS Section 194 - Affray.,"B.N.S 194, Affray."
195,"BNS Section 195 - Assaulting or obstructing public servant when suppressing riot, etc.","B.N.S 195, Assaulting or obstructing public servant when suppressing riot, etc."
198,"BNS Section 198 - Public servant disobeying law, with intent to cause injury to any person.","B.N.S 198, Public servant disobeying law, with intent to cause injury to any person."
197,"BNS Section 197 - Imputations, assertions prejudicial to national integration.","B.N.S 197, Imputations, assertions prejudicial to national integration."
196,"BNS Section 196 - Promoting enmity between different groups on ground of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony.","B.N.S 196, Promoting enmity between different groups on ground of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony."
199,BNS Section 199 - Public servant disobeying direction under law.,"B.N.S 199, Public servant disobeying direction under law."
200,BNS Section 200 - Punishment for non-treatment of victim.,"B.N.S 200, Punishment for non-treatment of victim."
201,BNS Section 201 - Public servant framing an incorrect document with intent to cause injury.,"B.N.S 201, Public servant framing an incorrect document with intent to cause injury."
202,BNS Section 202 - Public servant unlawfully engaging in trade.,"B.N.S 202, Public servant unlawfully engaging in trade."
203,BNS Section 203 - Public servant unlawfully buying or bidding for property.,"B.N.S 203, Public servant unlawfully buying or bidding for property."
204,BNS Section 204 - Personating a public servant.,"B.N.S 204, Personating a public servant."
205,BNS Section 205 - Wearing garb or carrying token used by public servant with fraudulent intent.,"B.N.S 205, Wearing garb or carrying token used by public servant with fraudulent intent."
206,BNS Section 206 - Absconding to avoid service of summons or other proceeding.,"B.N.S 206, Absconding to avoid service of summons or other proceeding."
209,"BNS Section 209 - Non-appearance in response to a proclamation under section 84 of Bharatiya Nagarik Suraksha Sanhita, 2023.","B.N.S 209, Non-appearance in response to a proclamation under section 84 of Bharatiya Nagarik Suraksha Sanhita, 2023."
208,BNS Section 208 - Non-attendance in obedience to an order from public servant.,"B.N.S 208, Non-attendance in obedience to an order from public servant."
207,"BNS Section 207 - Preventing service of summons or other proceeding, or preventing publication thereof.","B.N.S 207, Preventing service of summons or other proceeding, or preventing publication thereof."
210,BNS Section 210 - Omission to produce document or electronic record to public servant by person legally bound to produce it.,"B.N.S 210, Omission to produce document or electronic record to public servant by person legally bound to produce it."
211,BNS Section 211 - Omission to give notice or information to public servant by person legally bound to give it.,"B.N.S 211, Omission to give notice or information to public servant by person legally bound to give it."
212,BNS Section 212 - Furnishing false information.,"B.N.S 212, Furnishing false information."
213,BNS Section 213 - Refusing oath or affirmation when duly required by public servant to make it.,"B.N.S 213, Refusing oath or affirmation when duly required by public servant to make it."
214,BNS Section 214 - Refusing to answer public servant authorised to question.,"B.N.S 214, Refusing to answer public servant authorised to question."
215,BNS Section 215 - Refusing to sign statement.,"B.N.S 215, Refusing to sign statement."
216,BNS Section 216 - False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation.,"B.N.S 216, False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation."
219,BNS Section 219 - Obstructing sale of property offered for sale by authority of public servant.,"B.N.S 219, Obstructing sale of property offered for sale by authority of public servant."
218,BNS Section 218 - Resistance to the taking of property by the lawful authority of a public servant.,"B.N.S 218, Resistance to the taking of property by the lawful authority of a public servant."
217,"BNS Section 217 - False information, with intent to cause public servant to use his lawful power to the injury of another person.","B.N.S 217, False information, with intent to cause public servant to use his lawful power to the injury of another person."
222,BNS Section 222 - Omission to assist public servant when bound by law to give assistance.,"B.N.S 222, Omission to assist public servant when bound by law to give assistance."
221,BNS Section 221 - Obstructing public servant in discharge of public functions.,"B.N.S 221, Obstructing public servant in discharge of public functions."
220,BNS Section 220 - Illegal purchase or bid for property offered for sale by authority of public servant.,"B.N.S 220, Illegal purchase or bid for property offered for sale by authority of public servant."
223,BNS Section 223 - Disobedience to order duly promulgated by public servant.,"B.N.S 223, Disobedience to order duly promulgated by public servant."
225,BNS Section 225 - Threat of injury to induce person to refrain from applying for protection to public servant.,"B.N.S 225, Threat of injury to induce person to refrain from applying for protection to public servant."
224,BNS Section 224 - Threat of injury to public servant.,"B.N.S 224, Threat of injury to public servant."
228,BNS Section 228 - Fabricating false evidence.,"B.N.S 228, Fabricating false evidence."
229,BNS Section 229 - Punishment for false evidence.,"B.N.S 229, Punishment for false evidence."
227,BNS Section 227 - Giving false evidence.,"B.N.S 227, Giving false evidence."
226,BNS Section 226 - Attempt to commit suicide to compel or restraint exercise of lawful power.,"B.N.S 226, Attempt to commit suicide to compel or restraint exercise of lawful power."
230,BNS Section 230 - Giving or fabricating false evidence with intent to procure conviction of capital offence.,"B.N.S 230, Giving or fabricating false evidence with intent to procure conviction of capital offence."
232,BNS Section 232 - Threatening any person to give false evidence.,"B.N.S 232, Threatening any person to give false evidence."
233,BNS Section 233 - Using evidence known to be false.,"B.N.S 233, Using evidence known to be false."
235,BNS Section 235 - Using as true a certificate known to be false.,"B.N.S 235, Using as true a certificate known to be false."
234,BNS Section 234 - Issuing or signing false certificate.,"B.N.S 234, Issuing or signing false certificate."
231,BNS Section 231 - Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment.,"B.N.S 231, Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment."
239,BNS Section 239 - Intentional omission to give information of offence by person bound to inform.,"B.N.S 239, Intentional omission to give information of offence by person bound to inform."
236,BNS Section 236 - False statement made in declaration which is by law receivable as evidence.,"B.N.S 236, False statement made in declaration which is by law receivable as evidence."
238,"BNS Section 238 - Causing disappearance of evidence of offence, or giving false information to screen offender.","B.N.S 238, Causing disappearance of evidence of offence, or giving false information to screen offender."
237,BNS Section 237 - Using as true such declaration knowing it to be false.,"B.N.S 237, Using as true such declaration knowing it to be false."
240,BNS Section 240 - Giving false information respecting an offence committed.,"B.N.S 240, Giving false information respecting an offence committed."
241,BNS Section 241 - Destruction of document or electronic record to prevent its production as evidence.,"B.N.S 241, Destruction of document or electronic record to prevent its production as evidence."
242,BNS Section 242 - False personation for purpose of act or proceeding in suit or prosecution.,"B.N.S 242, False personation for purpose of act or proceeding in suit or prosecution."
244,BNS Section 244 - Fraudulent claim to property to prevent its seizure as forfeited or in execution.,"B.N.S 244, Fraudulent claim to property to prevent its seizure as forfeited or in execution."
243,BNS Section 243 - Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution.,"B.N.S 243, Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution."
245,BNS Section 245 - Fraudulently suffering decree for sum not due.,"B.N.S 245, Fraudulently suffering decree for sum not due."
249,BNS Section 249 - Harbouring offender.,"B.N.S 249, Harbouring offender."
246,BNS Section 246 - Dishonestly making false claim in Court.,"B.N.S 246, Dishonestly making false claim in Court."
247,BNS Section 247 - Fraudulently obtaining decree for sum not due.,"B.N.S 247, Fraudulently obtaining decree for sum not due."
248,BNS Section 248 - False charge of offence made with intent to injure.,"B.N.S 248, False charge of offence made with intent to injure."
250,"BNS Section 250 - Taking gift, etc., to screen an offender from punishment.","B.N.S 250, Taking gift, etc., to screen an offender from punishment."
251,BNS Section 251 - Offering gift or restoration of property in consideration of screening offender.,"B.N.S 251, Offering gift or restoration of property in consideration of screening offender."
252,"BNS Section 252 - Taking gift to help to recover stolen property, etc.","B.N.S 252, Taking gift to help to recover stolen property, etc."
254,BNS Section 254 - Penalty for harbouring robbers or dacoits.,"B.N.S 254, Penalty for harbouring robbers or dacoits."
253,BNS Section 253 - Harbouring offender who has escaped from custody or whose apprehension has been ordered.,"B.N.S 253, Harbouring offender who has escaped from custody or whose apprehension has been ordered."
255,BNS Section 255 - Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture.,"B.N.S 255, Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture."
259,BNS Section 259 - Intentional omission to apprehend on the part of public servant bound to apprehend.,"B.N.S 259, Intentional omission to apprehend on the part of public servant bound to apprehend."
257,"BNS Section 257 - Public servant in judicial proceeding corruptly making report, etc., contrary to law.","B.N.S 257, Public servant in judicial proceeding corruptly making report, etc., contrary to law."
256,BNS Section 256 - Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture.,"B.N.S 256, Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture."
258,BNS Section 258 - Commitment for trial or confinement by person having authority who knows that he is acting contrary to law.,"B.N.S 258, Commitment for trial or confinement by person having authority who knows that he is acting contrary to law."
260,BNS Section 260 - Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed.,"B.N.S 260, Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed."
261,BNS Section 261 - Escape from confinement or custody negligently suffered by public servant.,"B.N.S 261, Escape from confinement or custody negligently suffered by public servant."
262,BNS Section 262 - Resistance or obstruction by a person to his lawful apprehension.,"B.N.S 262, Resistance or obstruction by a person to his lawful apprehension."
263,BNS Section 263 - Resistance or obstruction to lawful apprehension of another person.,"B.N.S 263, Resistance or obstruction to lawful apprehension of another person."
264,"BNS Section 264 - Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise, provided for.","B.N.S 264, Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise, provided for."
265,BNS Section 265 - Resistance or obstruction to lawful apprehension or escape or rescue in cases not otherwise provided for.,"B.N.S 265, Resistance or obstruction to lawful apprehension or escape or rescue in cases not otherwise provided for."
266,BNS Section 266 - Violation of condition of remission of punishment.,"B.N.S 266, Violation of condition of remission of punishment."
267,BNS Section 267 - Intentional insult or interruption to public servant sitting in judicial proceeding.,"B.N.S 267, Intentional insult or interruption to public servant sitting in judicial proceeding."
268,BNS Section 268 - Personation of an assessor.,"B.N.S 268, Personation of an assessor."
269,BNS Section 269 - Failure by person released on bail or bond to appear in court.,"B.N.S 269, Failure by person released on bail or bond to appear in court."
270,BNS Section 270 - Public nuisance.,"B.N.S 270, Public nuisance."
271,BNS Section 271 - Negligent act likely to spread infection of disease dangerous to life.,"B.N.S 271, Negligent act likely to spread infection of disease dangerous to life."
272,BNS Section 272 - Malignant act likely to spread infection of disease dangerous to life.,"B.N.S 272, Malignant act likely to spread infection of disease dangerous to life."
273,BNS Section 273 - Disobedience to quarantine rule.,"B.N.S 273, Disobedience to quarantine rule."
274,BNS Section 274 - Adulteration of food or drink intended for sale.,"B.N.S 274, Adulteration of food or drink intended for sale."
275,BNS Section 275 - Sale of noxious food or drink.,"B.N.S 275, Sale of noxious food or drink."
276,BNS Section 276 - Adulteration of drugs.,"B.N.S 276, Adulteration of drugs."
279,BNS Section 279 - Fouling water of public spring or reservoir.,"B.N.S 279, Fouling water of public spring or reservoir."
277,BNS Section 277 - Sale of adulterated drugs.,"B.N.S 277, Sale of adulterated drugs."
278,BNS Section 278 - Sale of drug as a different drug or preparation.,"B.N.S 278, Sale of drug as a different drug or preparation."
280,BNS Section 280 - Making atmosphere noxious to health.,"B.N.S 280, Making atmosphere noxious to health."
281,BNS Section 281 - Rash driving or riding on a public way.,"B.N.S 281, Rash driving or riding on a public way."
282,BNS Section 282 - Rash navigation of vessel.,"B.N.S 282, Rash navigation of vessel."
283,"BNS Section 283 - Exhibition of false light, mark or buoy.","B.N.S 283, Exhibition of false light, mark or buoy."
284,BNS Section 284 - Conveying person by water for hire in unsafe or overloaded vessel.,"B.N.S 284, Conveying person by water for hire in unsafe or overloaded vessel."
285,BNS Section 285 - Danger or obstruction in public way or line of navigation.,"B.N.S 285, Danger or obstruction in public way or line of navigation."
286,BNS Section 286 - Negligent conduct with respect to poisonous substance.,"B.N.S 286, Negligent conduct with respect to poisonous substance."
287,BNS Section 287 - Negligent conduct with respect to fire or combustible matter.,"B.N.S 287, Negligent conduct with respect to fire or combustible matter."
289,BNS Section 289 - Negligent conduct with respect to machinery.,"B.N.S 289, Negligent conduct with respect to machinery."
288,BNS Section 288 - Negligent conduct with respect to explosive substance.,"B.N.S 288, Negligent conduct with respect to explosive substance."
290,"BNS Section 290 - Negligent conduct with respect to pulling down, repairing or constructing buildings etc.","B.N.S 290, Negligent conduct with respect to pulling down, repairing or constructing buildings etc."
291,BNS Section 291 - Negligent conduct with respect to animal.,"B.N.S 291, Negligent conduct with respect to animal."
292,BNS Section 292 - Punishment for public nuisance in cases not otherwise provided for.,"B.N.S 292, Punishment for public nuisance in cases not otherwise provided for."
293,BNS Section 293 - Continuance of nuisance after injunction to discontinue.,"B.N.S 293, Continuance of nuisance after injunction to discontinue."
294,"BNS Section 294 - Sale, etc., of obscene books, etc.","B.N.S 294, Sale, etc., of obscene books, etc."
295,"BNS Section 295 - Sale, etc., of obscene objects to child.","B.N.S 295, Sale, etc., of obscene objects to child."
296,BNS Section 296 - Obscene acts and songs.,"B.N.S 296, Obscene acts and songs."
297,BNS Section 297 - Keeping lottery office.,"B.N.S 297, Keeping lottery office."
299,"BNS Section 299 - Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs.","B.N.S 299, Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs."
298,"BNS Section 298 - Injuring or defiling place of worship, with intent to insult the religion of any class.","B.N.S 298, Injuring or defiling place of worship, with intent to insult the religion of any class."
300,BNS Section 300 - Disturbing religious assembly.,"B.N.S 300, Disturbing religious assembly."
301,"BNS Section 301 - Trespassing on burial places, etc.","B.N.S 301, Trespassing on burial places, etc."
302,"BNS Section 302 - Uttering words, etc., with deliberate intent to wound religious feelings of any person.","B.N.S 302, Uttering words, etc., with deliberate intent to wound religious feelings of any person."
303,BNS Section 303 - Theft.,"B.N.S 303, Theft."
304,BNS Section 304 - Snatching.,"B.N.S 304, Snatching."
305,"BNS Section 305 - Theft in a dwelling house, or means of transportation or place of worship, etc.","B.N.S 305, Theft in a dwelling house, or means of transportation or place of worship, etc."
306,BNS Section 306 - Theft by clerk or servant of property in possession of master.,"B.N.S 306, Theft by clerk or servant of property in possession of master."
307,"BNS Section 307 - Theft after preparation made for causing death, hurt or restraint in order to the committing of theft.","B.N.S 307, Theft after preparation made for causing death, hurt or restraint in order to the committing of theft."
309,BNS Section 309 - Robbery.,"B.N.S 309, Robbery."
308,BNS Section 308 - Extortion.,"B.N.S 308, Extortion."
310,BNS Section 310 - Dacoity.,"B.N.S 310, Dacoity."
311,"BNS Section 311 - Robbery, or dacoity, with attempt to cause death or grievous hurt.","B.N.S 311, Robbery, or dacoity, with attempt to cause death or grievous hurt."
312,BNS Section 312 - Attempt to commit robbery or dacoity when armed with deadly weapon.,"B.N.S 312, Attempt to commit robbery or dacoity when armed with deadly weapon."
314,BNS Section 314 - Dishonest misappropriation of property.,"B.N.S 314, Dishonest misappropriation of property."
313,"BNS Section 313 - Punishment for belonging to gang of robbers, etc.","B.N.S 313, Punishment for belonging to gang of robbers, etc."
315,BNS Section 315 - Dishonest misappropriation of property possessed by deceased person at the time of his death.,"B.N.S 315, Dishonest misappropriation of property possessed by deceased person at the time of his death."
316,BNS Section 316 - Criminal breach of trust.,"B.N.S 316, Criminal breach of trust."
317,BNS Section 317 - Stolen property.,"B.N.S 317, Stolen property."
319,BNS Section 319 - Cheating by personation.,"B.N.S 319, Cheating by personation."
318,BNS Section 318 - Cheating.,"B.N.S 318, Cheating."
320,BNS Section 320 - Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors.,"B.N.S 320, Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors."
321,BNS Section 321 - Dishonestly or fraudulently preventing debt being available for creditors.,"B.N.S 321, Dishonestly or fraudulently preventing debt being available for creditors."
323,BNS Section 323 - Dishonest or fraudulent removal or concealment of property.,"B.N.S 323, Dishonest or fraudulent removal or concealment of property."
324,BNS Section 324 - Mischief.,"B.N.S 324, Mischief."
322,BNS Section 322 - Dishonest or fraudulent execution of deed of transfer containing false statement of consideration.,"B.N.S 322, Dishonest or fraudulent execution of deed of transfer containing false statement of consideration."
325,BNS Section 325 - Mischief by killing or maiming animal.,"B.N.S 325, Mischief by killing or maiming animal."
326,"BNS Section 326 - Mischief by injury, inundation, fire or explosive substance, etc.","B.N.S 326, Mischief by injury, inundation, fire or explosive substance, etc."
327,"BNS Section 327 - Mischief with intent to destroy or make unsafe a rail, aircraft, decked vessel or one of twenty tons burden.","B.N.S 327, Mischief with intent to destroy or make unsafe a rail, aircraft, decked vessel or one of twenty tons burden."
328,"BNS Section 328 - Punishment for intentionally running vessel aground or ashore with intent to commit theft, etc.","B.N.S 328, Punishment for intentionally running vessel aground or ashore with intent to commit theft, etc."
329,BNS Section 329 - Criminal trespass and house-trespass.,"B.N.S 329, Criminal trespass and house-trespass."
330,BNS Section 330 - House-trespass and house-breaking.,"B.N.S 330, House-trespass and house-breaking."
331,BNS Section 331 - Punishment for house-trespass or house breaking.,"B.N.S 331, Punishment for house-trespass or house breaking."
334,BNS Section 334 - Dishonestly breaking open receptacle containing property.,"B.N.S 334, Dishonestly breaking open receptacle containing property."
333,"BNS Section 333 - House-trespass after preparation for hurt, assault or wrongful restraint.","B.N.S 333, House-trespass after preparation for hurt, assault or wrongful restraint."
332,BNS Section 332 - House-trespass in order to commit offence.,"B.N.S 332, House-trespass in order to commit offence."
335,BNS Section 335 - Making a false document.,"B.N.S 335, Making a false document."
336,BNS Section 336 - Forgery.,"B.N.S 336, Forgery."
339,"BNS Section 339 - Having possession of document described in section 337 or 338, knowing it to be forged and intending to use it as genuine.","B.N.S 339, Having possession of document described in section 337 or 338, knowing it to be forged and intending to use it as genuine."
337,"BNS Section 337 - Forgery of record of Court or of public register, etc.","B.N.S 337, Forgery of record of Court or of public register, etc."
338,"BNS Section 338 - Forgery of valuable security, will, etc.","B.N.S 338, Forgery of valuable security, will, etc."
340,BNS Section 340 - Forged document or electronic record and using it as genuine.,"B.N.S 340, Forged document or electronic record and using it as genuine."
341,"BNS Section 341 - Making or possessing counterfeit seal, etc., with intent to commit forgery punishable under section 338.","B.N.S 341, Making or possessing counterfeit seal, etc., with intent to commit forgery punishable under section 338."
342,"BNS Section 342 - Counterfeiting device or mark used for authenticating documents described in section 338, or possessing counterfeit marked material.","B.N.S 342, Counterfeiting device or mark used for authenticating documents described in section 338, or possessing counterfeit marked material."
344,BNS Section 344 - Falsification of accounts.,"B.N.S 344, Falsification of accounts."
343,"BNS Section 343 - Fraudulent cancellation, destruction, etc., of will, authority to adopt, or valuable security.","B.N.S 343, Fraudulent cancellation, destruction, etc., of will, authority to adopt, or valuable security."
345,BNS Section 345 - Property mark.,"B.N.S 345, Property mark."
346,BNS Section 346 - Tampering with property mark with intent to cause injury.,"B.N.S 346, Tampering with property mark with intent to cause injury."
347,BNS Section 347 - Counterfeiting a property mark.,"B.N.S 347, Counterfeiting a property mark."
348,BNS Section 348 - Making or possession of any instrument for counterfeiting a property mark.,"B.N.S 348, Making or possession of any instrument for counterfeiting a property mark."
349,BNS Section 349 - Selling goods marked with a counterfeit property mark.,"B.N.S 349, Selling goods marked with a counterfeit property mark."
350,BNS Section 350 - Making a false mark upon any receptacle containing goods.,"B.N.S 350, Making a false mark upon any receptacle containing goods."
351,BNS Section 351 - Criminal intimidation.,"B.N.S 351, Criminal intimidation."
352,BNS Section 352 - Intentional insult with intent to provoke breach of peace.,"B.N.S 352, Intentional insult with intent to provoke breach of peace."
354,BNS Section 354 - Act caused by inducing person to believe that he will be rendered an object of the Divine displeasure.,"B.N.S 354, Act caused by inducing person to believe that he will be rendered an object of the Divine displeasure."
355,BNS Section 355 - Misconduct in public by a drunken person.,"B.N.S 355, Misconduct in public by a drunken person."
356,BNS Section 356 - Defamation.,"B.N.S 356, Defamation."
353,BNS Section 353 - Statements conducing to public mischief.,"B.N.S 353, Statements conducing to public mischief."
357,BNS Section 357 - Breach of contract to attend on and supply wants of helpless person.,"B.N.S 357, Breach of contract to attend on and supply wants of helpless person."
358,BNS Section 358 - Repeal and savings.,"B.N.S 358, Repeal and savings."
